Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
1358,53033007500,Census Tract 75, King County, Washington,2012,53033007500,Census Tract 75,53033007500,2012,1.3683953686361583,0.3270089478272981,0.0388472358635193,-0.9306632412868996,-1.6011780769505557,-0.188670865198982,0.3522957369466517,-2.074497594278562,2.4197098910919825,-1.4647545010079892,-1.6068127196225412,1.2029308600467603,2.721442412148195,-0.5053661541673691,-0.7325353465657719,-0.2472089931863925,0
1359,53033007500,Census Tract 75, King County, Washington,2019,53033007500,Census Tract 75,53033007500,2019,2.215806032431804,1.053647467299842,0.4182728987637601,-0.717292035019814,-1.527811363987538,0.1297899201485527,0.4537489671280945,-2.0652082202888757,2.415105442635617,-1.4582566600893128,-1.6133286396100766,1.1878802873070848,2.7151002207467174,-0.502488379666471,-0.7292471118100375,-0.2436464270536904,0
1360,53033007300,Census Tract 73,King County,WA,2000,53033007300,Census Tract 73,53033007300,2000,-1.4328930535883628,-1.268576911612467,4.299638902359624,-1.8243790218647329,0.1625241267999578,-0.8979099068369726,-2.283998063923216,-1.8568534387340645,2.769725524773338,-1.5175682894105351,-1.9614899771049243,-0.7187294772404554,5.469675273468379,-0.5116891845758663,-0.7989661341016817,-0.3690598741134989,0
1361,53033007300,Census Tract 73, King County, Washington,2012,53033007300,Census Tract 73,53033007300,2012,-0.1396704746930613,1.6141063127137771,0.9428360882069212,-0.9075633672997396,-1.1014914033030525,-0.0169779866021899,0.8031243378269691,-2.464883058339939,2.7153256759479567,-1.4647545010079892,-1.9794768002933476,-0.810084286381795,5.3649972909808445,-0.4849248388093006,-0.7550095359096088,-0.3449826275658064,0
1362,53033007300,Census Tract 73, King County, Washington,2019,53033007300,Census Tract 73,53033007300,2019,1.716183781445127,1.732677724376726,0.6789515488035317,-0.0003250680066181,-1.0485702808898811,1.102733146114401,0.6169232694035295,-2.422517356090239,2.7218326128112635,-1.4582566600893128,-1.98577048243035,-0.8278357146800707,5.356571097087615,-0.4820247242650522,-0.7517915270936393,-0.3421008030387981,0
1363,53033007200,Census Tract 72,King County,WA,2000,53033007200,Census Tract 72,53033007200,2000,-0.9056800116249024,0.0240874852736826,1.233535854126276,-1.500193947470868,-0.6895059126963282,-0.2522852415012724,-0.7106318073079645,-2.978639698296072,2.785338467113297,-1.496571219028423,-1.9433441990839035,-0.5895257574048717,5.121617446565312,-0.3054019207923429,-0.7989661341016817,-0.3715532152326584,0
1364,53033007200,Census Tract 72, King County, Washington,2012,53033007200,Census Tract 72,53033007200,2012,0.0581845876831724,0.6083276754198917,1.3832969319301662,-1.0644311390164665,-0.9374116089373332,0.0633888927409893,0.0143453138284775,-2.4809918589771525,2.727703487342641,-1.4542878180709309,-1.9391735222352815,-0.6707365482142906,4.994960044977597,-0.299082765459441,-0.7550095359096088,-0.3476299733590138,0
1365,53033007200,Census Tract 72, King County, Washington,2019,53033007200,Census Tract 72,53033007200,2019,3.2657288663685256,2.503186990654348,0.0294889205553177,0.7298269666367607,-1.3650484584288198,1.2297492330551123,0.7643339967855152,-2.0894642423067094,2.655040487564597,-1.4476394878529375,-1.9454912391917087,-0.6883010141273723,5.011771317098847,-0.3229293386232639,-0.7517915270936393,-0.3447665807787929,0
1366,53033007100,Census Tract 71,King County,WA,2000,53033007100,Census Tract 71,53033007100,2000,-1.7436487084042238,0.8552327031285977,0.2032969143529327,-1.0464898233789248,-1.4751029305041514,-0.2783184941357765,-0.1197988597612079,-2.91575079648828,2.7400719253887296,-1.4668403747936312,-1.8690516239104105,-0.2378500984164382,3.795711812585386,0.3414418397940905,-0.7623678942352428,0.0712206454873955,0
1367,53033007100,Census Tract 71, King County, Washington,2012,53033007100,Census Tract 71,53033007100,2012,-1.2361448504703834,1.784584728078885,0.4556120151615119,-0.3930249977033926,-1.1867657599625332,0.1547148919946021,-0.309238795756333,-1.6578523866712105,2.7223878252151605,-1.426825241284951,-1.889267276193353,-0.2857243643341564,3.7396378044564,0.2149633169990116,-0.7173322772441209,0.1224924292725891,0
1368,53033007100,Census Tract 71, King County, Washington,2019,53033007100,Census Tract 71,53033007100,2019,-0.0349729284629725,1.795190219807628,-0.1071064884927917,-0.1693599481953236,-1.2886215441932916,0.7877332505014372,0.3306226659333146,-1.8861606503450636,2.691528851409197,-1.419782055890509,-1.895614754689526,-0.3027722607128228,3.7324929356633354,0.2186283300572341,-0.7139965368892262,0.1286290138669084,0
1369,53033007000,Census Tract 70,King County,WA,2000,53033007000,Census Tract 70,53033007000,2000,1.870403838063454,2.528098550504772,-0.0894736410388618,-0.7768245199049774,-1.422635956863074,-0.1585655320170579,0.6592253229300711,-0.4159882167015692,2.475888445130874,-1.4647925690391963,-0.6522952238807989,1.6118765792943075,1.530614202910513,-0.5430523609701084,-0.7935266878906723,-0.3067630514717027,2
1370,53033007000,Census Tract 70, King County, Washington,2012,53033007000,Census Tract 70,53033007000,2012,1.7674141064718405,0.9529522861708708,-0.4520521719799536,-0.7472230655065119,-1.3906248173231903,-0.331139424034618,0.1798999745462875,-1.805652306433881,2.482800867073757,-1.4121418496296112,-0.6849075642291643,1.520747120437186,1.4942222026922345,-0.5056226608003916,-0.7494097195622346,-0.2944422631614147,2
1371,53033007000,Census Tract 70, King County, Washington,2019,53033007000,Census Tract 70,53033007000,2019,1.1719425642733112,2.1525542382594827,-0.052548835639726,-0.6734863826958508,-1.300257109386347,-0.17250836677034,0.7353631023867435,-1.4902770394297895,2.270575807044711,-1.4048875473669988,-0.6919732614309693,1.5061229606904838,1.488847469918121,-0.502745166632202,-0.7461742127907441,-0.2912085551329352,2
1372,53033006900,Census Tract 69,King County,WA,2000,53033006900,Census Tract 69,53033006900,2000,-0.279882417099169,2.031978267283654,-0.4947103744749607,0.3860240762945631,-1.4931524321322966,-0.0023660162100337,2.31246344097294,0.1089515657912479,0.9862686068774013,-1.3901476954903214,0.5096907270140334,2.3402632058115653,-0.4118272503918452,-0.5782280123676444,-0.7846394935059556,-0.3949410695475502,2
1373,53033006900,Census Tract 69, King County, Washington,2012,53033006900,Census Tract 69,53033006900,2012,-0.3137035228701498,1.9514687190236435,-0.746258662874242,0.3655718444435694,-1.6430367814636826,0.2825712909496601,2.287643402941216,-0.1741716223408046,0.7713890005795987,-1.3608233077994425,0.5020617593555795,2.2461773456206835,-0.4305902599498785,-0.5371895741501721,-0.7402605057512585,-0.3724624109492413,2
1374,53033006900,Census Tract 69, King County, Washington,2019,53033006900,Census Tract 69,53033006900,2019,-0.1104395749736392,1.9126563299333037,-0.6395374265876251,1.09461383773849,-1.5937078568254732,0.9452331983079192,2.2427016962522504,-0.4385389123057788,0.5983898696698604,-1.364545625239838,0.4942882141888008,2.23877681764393,-0.4344475988539349,-0.5343465790443136,-0.7369964100892789,-0.3697719123556842,2
1375,53033006800,Census Tract 68,King County,WA,2000,53033006800,Census Tract 68,53033006800,2000,-1.0614150294406672,1.3543305294402397,-0.524065785078952,0.8232892440786733,-1.598190295142882,0.1590401501238912,2.1549079882938047,0.5584738678701674,0.3499009361227416,-1.2668497817757314,0.0340477312773378,2.00480760587747,0.2069582133288533,-0.5330609022238794,-0.7564059002078694,-0.2635215424514112,2
1376,53033006800,Census Tract 68, King County, Washington,2012,53033006800,Census Tract 68,53033006800,2012,-1.2566582515863138,1.5830768937381143,-0.6580960787015532,1.1822580755876542,-1.561302822394936,0.5419371288299205,2.437463529789152,-0.3819741480509134,0.4576002743436153,-1.244216176640892,0.0076172775213694,1.9126328685639835,0.2070372335587908,-0.4966562451137097,-0.7111945069045852,-0.2503685488912194,2
1377,53033006800,Census Tract 68, King County, Washington,2019,53033006800,Census Tract 68,53033006800,2019,-1.0424802019520931,2.388645119061627,-0.8674397553926879,1.0408326408259014,-1.7504861028180143,1.214507302622227,2.4693563406661707,-0.7604177719853107,0.5949817295846912,-1.234547449768564,0.0001385938251482,1.8985345005894108,0.2026772316323317,-0.4937689516683392,-0.707839587629216,-0.2468279809284476,2
